Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1570000,1.3523076,170.6206896551724,0.02155412,-0.11914484151478472,-0.11914484151478472,1.0
1580000,1.3177956,165.859649122807,0.08127289,0.11023157259874176,0.11023157259874176,1.0
1590000,1.3489116,210.1,0.031784013,0.0053877581139000095,0.0053877581139000095,1.0
1600000,1.3280438,198.54901960784315,0.058590006,0.018973075713102635,0.018973075713102635,1.0
1610000,1.3088526,183.1764705882353,0.03242456,0.09991372040673799,0.09991372040673799,1.0
1620000,1.2923671,172.4,0.059638094,-0.0731491562673601,-0.0731491562673601,1.0
1630000,1.2959031,162.85,0.22636671,0.4021573762913219,0.4021573762913219,1.0
1640000,1.3235829,171.54237288135593,0.03461919,-0.03294576881295544,-0.03294576881295544,1.0
1650000,1.3192812,179.96363636363637,0.17335123,0.24972592432189872,0.24972592432189872,1.0
1660000,1.3530582,201.1,0.08777956,0.08326666173981685,0.08326666173981685,1.0
1670000,1.3319573,172.5,0.14660929,0.26251851243001445,0.26251851243001445,1.0
1680000,1.290058,169.0,0.10528218,0.12340951533544631,0.12340951533544631,1.0
1690000,1.3049616,177.44444444444446,0.094061814,0.14661817035891794,0.14661817035891794,1.0
1700000,1.3710066,189.65217391304347,0.06282718,-0.16140869875317035,-0.16140869875317035,1.0
1710000,1.3882697,236.79166666666666,0.09119474,-0.003237504822512468,-0.003237504822512468,1.0
1720000,1.3680681,183.96226415094338,0.064848185,0.165777343905197,0.165777343905197,1.0
1730000,1.3410009,178.4561403508772,0.16476978,0.3919157827632469,0.3919157827632469,1.0
1740000,1.3637795,199.18367346938774,-0.0021934812,-0.04725714392808019,-0.04725714392808019,1.0
1750000,1.3302196,168.6909090909091,0.013740717,0.13109090680425817,0.13109090680425817,1.0
1760000,1.283375,166.578125,0.0849687,0.21906348258729966,0.21906348258729966,1.0
1770000,1.2951759,187.1509433962264,0.088008955,0.25011851886908215,0.25011851886908215,1.0
1780000,1.3047789,164.9090909090909,0.13061607,0.024083634398200295,0.024083634398200295,1.0
1790000,1.250336,171.8548387096774,0.1492425,0.19797375944794202,0.19797375944794202,1.0
1800000,1.315332,165.13114754098362,0.056056146,-0.0295245962553337,-0.0295245962553337,1.0
1810000,1.2922322,188.0392156862745,0.05646513,0.11308460625318381,0.11308460625318381,1.0
1820000,1.230378,154.26153846153846,0.08790139,0.12767692162440372,0.12767692162440372,1.0
1830000,1.3105543,191.22222222222223,-0.046448827,-0.22584906810859465,-0.22584906810859465,1.0
1840000,1.3064415,191.51923076923077,0.055382438,0.1252867857802589,0.1252867857802589,1.0
1850000,1.276491,204.83673469387756,0.030387785,-0.05657917602608601,-0.05657917602608601,1.0
1860000,1.2216564,144.9402985074627,0.17426449,0.16023879242477132,0.16023879242477132,1.0
1870000,1.2344524,147.84615384615384,0.1174303,0.1474757551243811,0.1474757551243811,1.0
1880000,1.2352371,157.2537313432836,0.036785968,0.13690908907940894,0.13690908907940894,1.0
1890000,1.2484018,177.54545454545453,0.13894993,0.23178544586355035,0.23178544586355035,1.0
1900000,1.1856477,140.6338028169014,0.22480612,0.3437690130421813,0.3437690130421813,1.0
1910000,1.2141193,138.8181818181818,0.16961028,0.34415521884142464,0.34415521884142464,1.0
1920000,1.2812611,205.01960784313727,0.10173933,0.08789998814463615,0.08789998814463615,1.0
1930000,1.2796204,175.17543859649123,0.15267609,0.32652981134883147,0.32652981134883147,1.0
1940000,1.2589363,151.15384615384616,0.13743466,-0.04706363628307978,-0.04706363628307978,1.0
1950000,1.2970923,186.66666666666666,0.15071726,0.17364443590243658,0.17364443590243658,1.0
1960000,1.2632252,183.87272727272727,0.08869891,0.1772259239245344,0.1772259239245344,1.0
1970000,1.186551,159.06896551724137,0.13879344,0.14031723783961658,0.14031723783961658,1.0
1980000,1.2024432,164.140625,0.21032736,0.3543661404114503,0.3543661404114503,1.0
1990000,1.2016765,167.1864406779661,0.1857757,0.3164915194955923,0.3164915194955923,1.0
2000000,1.2011132,181.70909090909092,0.077874474,-0.025487284497781232,-0.025487284497781232,1.0
2010000,1.1616821,154.5,0.1886772,0.3436523047777323,0.3436523047777323,1.0
2020000,1.1777827,142.37142857142857,0.3290792,0.41905142601047246,0.41905142601047246,1.0
2030000,1.2290714,188.66666666666666,0.1593537,0.018792146853372164,0.018792146853372164,1.0
2040000,1.1851643,148.9047619047619,0.2538456,0.3654825375193641,0.3654825375193641,1.0
2050000,1.1243033,176.0677966101695,0.34812254,0.30178999739388623,0.30178999739388623,1.0
2060000,1.1884285,191.9245283018868,0.1849788,0.11488076213460702,0.11488076213460702,1.0
2070000,1.1738127,173.31578947368422,0.17054112,0.07773333212785553,0.07773333212785553,1.0
2080000,1.1952068,188.1153846153846,0.17555438,0.22070565538586312,0.22070565538586312,1.0
2090000,1.1696321,163.45762711864407,0.16578442,0.04491863791215218,0.04491863791215218,1.0
2100000,1.1671808,191.72222222222223,0.12885714,0.021340725598511873,0.021340725598511873,1.0
2110000,1.1246703,140.125,0.3125697,0.3520388843284713,0.3520388843284713,1.0
2120000,1.1176771,145.2537313432836,0.23300862,0.4007731346941706,0.4007731346941706,1.0
2130000,1.148451,162.546875,0.25249448,0.4177142729361852,0.4177142729361852,1.0
2140000,1.1431792,146.92307692307693,0.28369352,0.35989091071215545,0.35989091071215545,1.0
2150000,1.1450294,152.57575757575756,0.22193475,0.384933327183579,0.384933327183579,1.0
2160000,1.0803335,138.5,0.25941846,0.25958309228151616,0.25958309228151616,1.0
2170000,1.1224637,149.171875,0.27061075,0.41173437144607306,0.41173437144607306,1.0
2180000,1.1856823,199.19230769230768,0.15133701,0.05464999062510637,0.05464999062510637,1.0
2190000,1.1047214,151.0625,0.27259228,0.4119138392118307,0.4119138392118307,1.0
2200000,1.1103204,136.82666666666665,0.2697175,0.35103999694188437,0.35103999694188437,1.0
2210000,1.1327779,146.3125,0.27697244,0.31525936676189303,0.31525936676189303,1.0
2220000,1.1672758,167.04761904761904,0.21766137,0.3475460261106491,0.3475460261106491,1.0
2230000,1.1251028,144.66176470588235,0.27105817,0.4286955188014614,0.4286955188014614,1.0
2240000,1.1743729,149.46153846153845,0.2469445,0.39189090557170636,0.39189090557170636,1.0
2250000,1.1215792,162.69354838709677,0.26167473,0.3763387128710747,0.3763387128710747,1.0
2260000,1.1685817,160.93333333333334,0.29241547,0.3983866639435291,0.3983866639435291,1.0
2270000,1.2005788,168.84745762711864,0.15006666,0.10906101965298087,0.10906101965298087,1.0
2280000,1.1642596,214.85416666666666,0.19109805,0.35881665038565796,0.35881665038565796,1.0
2290000,1.0872458,135.43835616438355,0.25785467,0.3912027347577761,0.3912027347577761,1.0
2300000,1.1463008,139.9718309859155,0.2324503,0.3915514256272997,0.3915514256272997,1.0
2310000,1.135836,150.3939393939394,0.25309983,0.2639999902158072,0.2639999902158072,1.0
2320000,1.1837258,176.86206896551724,0.16376577,0.1665781785141338,0.1665781785141338,1.0
2330000,1.1835715,153.45,0.17470987,0.24031249480322003,0.24031249480322003,1.0
2340000,1.1707066,138.66197183098592,0.24405259,0.3200591481487516,0.3200591481487516,1.0
2350000,1.1535592,157.06153846153848,0.20553151,0.4595437494572252,0.4595437494572252,1.0
2360000,1.17468,167.72131147540983,0.10648308,0.07137704408559643,0.07137704408559643,1.0
2370000,1.1573963,154.76190476190476,0.21762864,0.39168253848477014,0.39168253848477014,1.0
2380000,1.1121935,141.70833333333334,0.23615934,0.32595555091069806,0.32595555091069806,1.0
2390000,1.1790452,156.69354838709677,0.23716335,0.29466666162960115,0.29466666162960115,1.0
2400000,1.1093533,148.3582089552239,0.24531493,0.4590268622138607,0.4590268622138607,1.0
2410000,1.1079968,127.9620253164557,0.25099626,0.37814614921808243,0.37814614921808243,1.0
2420000,1.1301408,144.26470588235293,0.21950567,0.268721734052119,0.268721734052119,1.0
2430000,1.1843895,161.56666666666666,0.19331232,0.2865559259208582,0.2865559259208582,1.0
2440000,1.157791,141.40845070422534,0.18970774,0.43472957023432557,0.43472957023432557,1.0
2450000,1.1162356,143.8,0.17866552,0.3298971386892455,0.3298971386892455,1.0
2460000,1.1227804,165.55,0.20137882,0.33789508020291564,0.33789508020291564,1.0
2470000,1.1731105,134.7,0.2232421,0.3452542845691953,0.3452542845691953,1.0
2480000,1.1871699,199.9591836734694,0.17149334,0.28817498963326216,0.28817498963326216,1.0
2490000,1.1231602,153.92537313432837,0.2325513,0.5194529428639832,0.5194529428639832,1.0
2500000,1.1385955,160.0,0.24703623,0.38712380377073136,0.38712380377073136,1.0
2510000,1.1966096,171.3793103448276,0.1784516,0.24252880781383837,0.24252880781383837,1.0
